Year,Genre,MIR_pc_1,MIR_pc_2,lyric_pc_1,lyric_pc_2,lyric_range,MIR_range
1975,Vocal,-43.89150480016249,-13.260121480982137,-1.8998649159282859,0.18453876765973173,7.132798194885254,2.478534465652092
1976,Vocal,-26.28634183216334,5.532597944760228,-2.021256059498617,-0.8926259486351522,4.0069055557250985,1.794975656311146
1977,Vocal,-27.446467112807873,-12.85723198841793,-2.035767392828975,0.3028469023687495,7.439476013183594,1.219200580579166
1978,Vocal,-22.41875150595784,-9.757441843451362,-2.5567223949379683,-0.14625284593566734,5.816721916198728,2.631198411994517
1979,Vocal,-1.729043245102846,11.87053991014927,-0.9969241117484328,-0.5471063537252372,7.037030220031737,4.237480786958597
1980,Vocal,-10.96171998056396,-4.213497390600876,-1.0412816716859687,0.8570314728973942,5.9705810546875,2.040288220723979
1981,Vocal,-5.648538756933718,-4.363614493844624,-1.736314770561487,0.29086359029324055,6.4361381530761745,2.105246157947272
1982,Vocal,2.671701427247913,-16.741366199780504,-1.5308092852042552,-0.2448853553769451,2.1143474578857417,2.5669961899495246
1983,Vocal,-10.705577934930934,-14.47699621741768,-1.4288031960191312,0.27170096437036595,7.000216484069824,2.7375391093969648
1984,Vocal,20.499389440405952,7.894628702478004,-2.0837869765435175,0.12303152243084943,2.854381561279297,2.257600235375956
1985,Vocal,-5.057966927020168,-3.1513131900296165,-0.3105751044214339,-0.14773311388555088,3.1129674911499037,1.0249830968430182
1986,Vocal,35.25807309784728,7.3313953907979785,-2.661329124621513,3.651070709996292,0.0,0.0
1987,Vocal,-44.5701566938147,-2.1763061128413317,-1.6780941791701343,0.24758398655266378,1.7382211685180646,0.9916944898549194
1988,Vocal,35.96485752066865,-8.064332993424843,-2.1367558962082,0.8544173471841667,2.072390556335451,1.7150660302824008
1989,Vocal,65.05464656741572,11.126028909007086,-4.024686289815759,0.217570187990376,0.0,0.0
1990,Vocal,45.05465220747716,23.052202992085547,-2.404810368768074,-0.06271240665629421,0.0,0.0
1991,Vocal,89.17993503164912,23.09200909439103,-3.0104857849433992,0.009726084406664776,0.0,0.0
1992,Vocal,-7.912693008858051,7.416615007860339,-3.7315129796036928,1.2495636626400406,0.0,0.0
1995,Vocal,-25.93960850637684,-30.46192661812393,-0.928872437435942,3.3050561064487516,0.0,0.0
1996,Vocal,-11.913122589014113,20.075228674822807,-2.963340731784763,0.1230704370746139,0.0,0.0
2001,Vocal,-62.281578620165554,-40.15409145084773,-0.9428733324780738,2.7643118086612755,0.0,0.0
2004,Vocal,5.858010340727139,4.970808348795978,-4.3467495334922335,-0.8441494762219098,9.5367431640625e-07,0.0
2005,Vocal,-4.0161173417479406,9.461037686137674,-2.286337285633119,0.888327684127556,0.0,0.0
2006,Vocal,-49.643035892888214,27.943689362763042,-2.2893131887309495,0.5309754366452555,0.0,1.3322676295501877e-15
2007,Vocal,-14.374489898202798,0.9010745757786317,-1.9475102485214757,-0.3748733561403469,0.0,4.440892098500626e-16
2008,Vocal,-10.822798350713041,19.07464956701254,-5.5025975759089345,-0.5710719976637927,0.0,0.0
2009,Vocal,4.403655436153509,-25.041239321922863,-1.210383689463477,2.469797611432881,1.5242109298706057,0.6628279339122867
2010,Vocal,19.797255753157,13.147475140407767,0.12167757533836399,0.0550554693204598,0.0,2.220446049250313e-16
2011,Vocal,-34.4638591484848,-19.784679663534828,-1.514793318330616,-0.7978178949836032,1.5527820587158183,1.148833496239117
2013,Vocal,-30.219051312840673,24.026551531754958,-4.154699815095584,-0.07343931217268776,0.0,0.0
1974,Pop,-49.060807474906525,6.821253959685496,-1.4142682723343727,1.0031585982110447,5.022040367126465,2.3650556631668334
1975,Pop,-46.14423540165897,1.0016335674164523,-1.3514572469505775,-0.026001307244861067,12.457324504852295,5.8965386315048525
1976,Pop,-24.83101733236171,5.086523831872127,-1.0547224225177307,0.16059159492837688,8.708672523498535,2.5080719794853024
1977,Pop,-15.092321451087088,-17.790028323414703,-1.532759050708328,0.627998890531536,5.594014167785644,5.000604721583882
1978,Pop,-21.399339564176007,-10.751763809344611,-1.2758095947003338,0.06291675128158064,5.353991508483887,2.8048536896154044
1979,Pop,-19.731580236416477,5.06397462709947,-2.1681903687119197,-0.6542916623940325,7.573723793029785,2.959382890104763
1980,Pop,-3.663981135137698,-1.9787154468200363,-1.5645898293548377,0.07767959779902571,5.446062088012695,5.246251563823785
1981,Pop,-7.640702680580663,-3.1827922615268323,-1.4321534816132202,0.28774774417269855,5.881297111511231,2.717810767758351
1982,Pop,-22.840801670197997,5.46105434411641,-1.5221295146684053,0.2843525146723453,5.704455375671384,1.7761558450081352
1983,Pop,0.8341069723484497,-9.798329862036788,-1.82575647286906,-0.40069521005327186,6.9975547790527335,5.420531826521706
1984,Pop,7.149853723596376,5.956748726200705,-0.9906906264797395,0.06619159416367738,17.177467823028564,3.469887105090424
1985,Pop,11.918371738875502,8.73999028006102,-1.674479818905046,-0.878096234310079,7.0552635192871085,1.4446380163551078
1986,Pop,12.59593385372,5.370500623162178,-1.085894766500384,-0.1173953514503966,6.289888381958008,2.372734196376669
1987,Pop,8.414546076823623,-2.9364409634523887,-1.948805186622149,-0.5828096874359745,14.032908439636225,5.443202366212126
1988,Pop,2.888940176943436,1.6093246865137352,-1.7277146005559858,-0.5497574638146263,7.4925174713134775,3.528955752350236
1989,Pop,14.634052669012517,1.0848543588513855,-1.8087398287745404,-0.06551956631639023,10.908277511596678,4.691707060615666
1990,Pop,3.5190658288751546,1.2427604760110236,-0.8788369476712653,-0.6871706328618427,9.655950546264648,3.517696713203774
1991,Pop,31.839916805831844,5.949328227890211,-2.814613904782781,-0.3232739440565324,7.02561092376709,3.301317412378386
1992,Pop,28.565490895822563,-2.345820812157713,-3.2162835078517666,0.19673586729083392,7.094286918640139,2.7339842040987192
1993,Pop,33.326179007142166,0.11444305869090951,-3.002742061659422,-1.1145086282296706,10.315878868103027,4.027587402598346
1994,Pop,1.469650677999376,5.643576934688787,-2.3197751332946055,0.6002747076491343,6.979019165039063,3.135634223942977
1995,Pop,25.57686068294846,-12.384447677297198,-0.9674566620128537,1.3237504076040871,7.4709196090698216,2.121599837104537
1996,Pop,30.59275935114505,-4.936597018694843,-4.011729101002475,1.6325111867113054,6.467811584472657,2.554011178707446
1997,Pop,0.30080234274005335,0.3383758149953321,-0.9600605997529674,-1.3303949378273932,7.824847221374513,5.394768732399021
1998,Pop,20.3804312166267,-5.104053921048629,-2.2569893557384697,-0.8958758343771557,10.589068412780763,5.4818216544182725
1999,Pop,3.696126601325818,-10.604918532655818,-2.3404474708115206,-0.43940077220106094,6.292524337768555,3.761537126427335
2000,Pop,-3.545652387581953,-16.379045139000436,-2.0666100601417745,-0.5465704926561517,5.910819053649902,2.496035419812165
2001,Pop,4.70204409539334,-0.7204020419466525,-0.23018706786106896,-0.18086115447791226,8.633317947387695,4.01625781905441
2002,Pop,10.87197787556207,-1.2290506756320743,-0.824269968892415,-0.5766050736370696,6.5069503784179705,7.9499734708993115
2003,Pop,16.67187353404848,-7.243968008916498,-0.38487894143926976,0.11268118828229914,6.125749588012695,3.180732362894434
2004,Pop,11.900467929846577,3.3340217920181865,-0.26570506858671916,-0.8325486941174053,4.781485557556152,6.463203650456456
2005,Pop,-13.381746060947016,13.63640774940903,-1.377935914608106,0.052937582855702825,10.10227870941162,2.6093934059748323
2006,Pop,-24.222431188018074,4.1468493236365545,-0.8723197878359569,-0.05679967774192493,11.722819328308105,3.6809284723945632
2007,Pop,-5.1513686314110085,6.69474477458134,-0.5131956204688847,-0.222179780394701,11.920873641967773,6.219600336527307
2008,Pop,-15.307813904807748,10.574738727938046,-0.45006343283199207,-0.2883994396478449,10.71511650085449,4.530590193259195
2009,Pop,-16.590207734437197,8.708511452259904,-0.5524538564159849,0.12576389152819323,16.246531009674072,6.962343245448201
2010,Pop,-11.639608988534109,4.363589487053269,-0.08521227833929365,-0.09288310680067716,14.4694013595581,5.356027933369521
2011,Pop,-12.911019044588247,6.539391357793546,-0.32595184800526833,0.20567018152503816,17.89639282226563,4.603445424033525
2012,Pop,-11.941658964617817,4.499727768053412,-0.5411090370445156,0.1281980242601822,20.950662136077877,5.830108712569718
2013,Pop,1.5015394624282743,1.7051260284359466,-0.10948344488170189,-0.5459362906546216,9.287354469299316,5.009436102669613
1974,Comedy,-13.188393236352773,-14.146100173866031,3.128202332143334,3.3541618320530997,3.4187202453613263,1.8062096919288133
1975,Comedy,13.4129840444055,8.635419090213222,3.159867299744872,1.50785991459215,1.1622743606567385,1.191272648777792
1976,Comedy,-42.68894423064575,-0.6135126969439285,1.3119121476199749,1.6578134150560322,1.3679752349853516,1.9021955883274917
