Year,Genre,MIR_novelty_score_mean,lyric_novelty_score_mean,MIR_novelty_score_median,lyric_novelty_score_median,MIR_novelty_std_dev,lyric_novelty_std_dev
1988,Electronica,1.7763568394002506e-16,2.1649348980190552e-16,-0.4041201013053703,-0.46169079376765443,1.05409255338946,1.0540925533894596
1988,Gospel,4.0245584642661925e-16,2.7755575615628914e-17,-0.1808102215920284,0.0684560893204394,1.1547005383792515,1.1547005383792515
1988,Jazz,0.0,0.0,0.0,0.0,,
1988,Pop,6.846375318521799e-16,6.661338147750939e-17,-0.16736413511221837,-0.07897126131327546,1.0170952554312156,1.0170952554312158
1988,R&B,-4.733867618887821e-16,2.8185126190632695e-16,-0.14835317902541076,0.016945751210913348,1.0080322575483707,1.0080322575483704
1988,Rap,-5.124106267500722e-16,-1.0248212535001446e-16,-0.10186032547283057,0.4430689291765516,1.0408329997330665,1.0408329997330663
1988,Reggae,0.0,0.0,0.0,0.0,,
1988,Rock,-3.08852166521237e-16,-2.1930331350620375e-16,-0.14830512313037542,-0.11164918495505156,1.0020639856840274,1.0020639856840277
1988,Vocal,2.220446049250313e-16,2.7755575615628914e-17,-0.0581573184971195,0.0015758892861142404,1.1547005383792515,1.1547005383792515
1989,Comedy,0.0,0.0,0.0,0.0,,
1989,Electronica,3.700743415417188e-17,-1.295260195396016e-16,-0.38195114003035285,0.1942164731333866,1.0444659357341872,1.044465935734187
1989,Jazz,0.0,0.0,0.0,0.0,0.0,0.0
1989,New Age,0.0,0.0,0.0,0.0,,
1989,Pop,1.8592153960174955e-16,2.0898315757650005e-16,-0.3593641860213357,-0.21372159072290337,1.0150384378451047,1.0150384378451045
1989,R&B,-3.9590972010217845e-16,1.214961045816209e-16,-0.3130284852654952,-0.11849690082631167,1.0095695960312838,1.0095695960312836
1989,Rap,2.391249591500337e-16,2.9036602182504095e-16,-0.3790116219313747,-0.13527057768823753,1.0408329997330663,1.0408329997330665
1989,Reggae,0.0,0.0,0.0,0.0,,
1989,Rock,-1.6106644637554354e-16,3.254972049469209e-16,-0.19242053510981288,-0.15939083869107795,1.0018993369439972,1.0018993369439972
1989,Vocal,0.0,0.0,0.0,0.0,,
1990,Blues,0.0,0.0,0.0,0.0,,
1990,Electronica,-2.896233977283017e-17,-2.1239049166742126e-16,-0.3061430041605537,0.004943719544336206,1.0224747162910899,1.02247471629109
1990,Jazz,0.0,0.0,0.0,0.0,,
1990,Latin,0.0,0.0,0.0,0.0,,
1990,Pop,-1.8388068845354155e-16,-2.7755575615628914e-17,-0.08682285952320946,-0.20583042810639895,1.0327955589886444,1.0327955589886444
1990,R&B,-1.135078763982436e-16,-6.462492232892702e-17,-0.2720170715390121,-0.1148658284791778,1.0075472768815938,1.0075472768815936
1990,Rap,-3.154042683594195e-17,3.242355878734832e-16,-0.4188434620051948,-0.31249043599655657,1.0235326314383182,1.023532631438318
1990,Reggae,0.0,0.0,0.0,0.0,0.0,0.0
1990,Rock,-9.78415724897969e-17,-2.3116972567537505e-16,-0.15395536825720496,-0.11876438016314304,1.0022909537471156,1.0022909537471159
1990,Vocal,0.0,0.0,0.0,0.0,,
1991,Comedy,0.0,0.0,0.0,0.0,,
1991,Electronica,4.837400321581039e-16,1.9825411154020654e-16,-0.26311696657645683,-0.11866360935886922,1.018350154434631,1.018350154434631
1991,Gospel,-2.886579864025407e-16,-1.554312234475219e-16,-0.5149054086945702,0.04956508330793166,1.1180339887498947,1.1180339887498947
1991,Jazz,0.0,0.0,0.0,0.0,0.0,0.0
1991,New Age,0.0,0.0,0.0,0.0,,
1991,Pop,1.0362081563168128e-16,2.812564995717063e-16,-0.5436011410281413,-0.1296813218581688,1.0350983390135313,1.0350983390135313
1991,R&B,1.0430724384583125e-16,9.311547948469055e-17,-0.3304009195974681,-0.12955456255668835,1.0081634007555278,1.0081634007555276
1991,Rap,1.1169926772143343e-16,-2.1662888285368908e-16,-0.1392291382782385,-0.14981828351480106,1.0124228365658292,1.0124228365658294
1991,Reggae,0.0,0.0,0.0,0.0,0.0,0.0
1991,Rock,9.33156685825965e-16,3.518552970350496e-16,-0.22213550399773133,-0.1419983285812381,1.0025740068320432,1.002574006832043
